date,value,series_id,indicator_name,unit,geography,geo_level,source
2010-10-01,20073.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-10-01,2695.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2010-10-01,5508.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2010-10-01,11548.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-10-01,24626.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2010-11-01,2689.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2010-11-01,130749.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2010-11-01,5506.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2010-11-01,24625.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2010-11-01,7680.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2010-11-01,20113.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-11-01,11571.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-11-01,736.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2010-11-01,17069.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-12-01,24657.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2010-12-01,11579.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-12-01,130830.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2010-12-01,20126.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-12-01,5467.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2010-12-01,2682.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2010-12-01,17140.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-12-01,734.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2010-12-01,7684.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-01-01,2678.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-01-01,20150.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-01-01,11606.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-01-01,737.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-01-01,5427.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-01-01,24675.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-01-01,130837.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-01-01,7680.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-01-01,17150.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-02-01,7677.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-02-01,2672.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-02-01,738.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-02-01,17229.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-02-01,11637.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-02-01,20167.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-02-01,131057.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-02-01,5451.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-02-01,24746.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-03-01,7682.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-03-01,17294.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-03-01,11659.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-03-01,754.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-03-01,5477.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-03-01,24794.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-03-01,131283.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-03-01,20180.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-03-01,2672.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-04-01,131597.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-04-01,5485.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-04-01,24891.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-04-01,767.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-04-01,17356.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-04-01,7680.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-04-01,11689.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-04-01,20232.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-04-01,2674.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-05-01,2679.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-05-01,24906.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-05-01,777.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-05-01,5516.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
